Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,460732583,34595,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,460767978,3164160,4,28,32,28,1,8,71,5004,0
fused_nn_max_pool2d_add_nn_relu_kernel0,463933194,120810,3136,1,1,1024,1,1,18,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,464054804,1254982,1,28,16,56,1,2,200,2816,0
fused_nn_conv2d_kernel0,465310810,157325,1,28,16,56,1,2,128,2816,0
fused_nn_conv2d_add_3_kernel0,465469159,1293096,1,28,16,56,1,2,200,2816,0
fused_add_nn_relu_3_kernel0,466763119,40195,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,466804114,1240357,1,28,16,56,1,2,200,2816,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,468045303,1291753,1,28,16,56,1,2,200,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,469338048,1193920,1,4,32,28,1,8,255,24928,0
fused_nn_conv2d_1_kernel0,470532960,155661,1,4,32,28,1,8,168,24928,0
fused_nn_conv2d_add_2_kernel0,470689581,1495513,1,7,32,14,1,8,178,5632,0
fused_add_nn_relu_2_kernel0,472186086,23170,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,472210088,1489496,1,7,32,14,1,8,178,5632,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,473700448,1496793,1,7,32,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,475198138,1768527,1,2,64,14,1,8,231,13280,0
fused_nn_conv2d_2_kernel0,476967625,150604,1,2,64,14,1,8,168,13280,0
fused_nn_conv2d_add_1_kernel0,477119093,1578880,1,2,64,14,1,8,168,5184,0
fused_add_nn_relu_1_kernel0,478698869,12481,256,1,1,1024,1,1,19,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,478712278,1566431,1,2,64,14,1,8,168,5184,0
fused_nn_conv2d_add_add_nn_relu_kernel0,480279605,1566271,1,2,64,14,1,8,168,5184,0
fused_nn_conv2d_add_nn_relu_1_kernel0,481846836,1220898,1,1,128,7,1,8,255,7456,0
fused_nn_conv2d_3_kernel0,483068758,166958,1,1,128,7,1,8,168,7456,0
fused_nn_conv2d_add_kernel0,483236612,1547933,1,1,256,7,1,4,128,1296,0
fused_add_nn_relu_kernel0,484785569,8385,256,1,1,1024,1,1,16,0,0
fused_nn_conv2d_add_nn_relu_kernel0,484794754,1534236,1,1,256,7,1,4,128,1296,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,486330015,1536924,1,1,256,7,1,4,128,1296,0
fused_nn_global_avg_pool2d_kernel0,487867803,9889,64,2,1,8,8,1,30,0,0
fused_nn_batch_flatten_kernel0,487878556,3840,8,1,1,1024,1,1,16,0,0
fused_nn_dense_add_kernel0,487883260,39747,1000,16,1,64,1,1,27,260,0
fused_nn_softmax_kernel0,487923903,19842,16,1,1,32,1,1,56,0,0
,27211162,,,,,,,,,,
