Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,563703430,36418,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_7_kernel0,563740744,2432058,2560,1,1,28,1,8,56,5008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,566173698,32065,2560,1,1,1024,1,1,26,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,566206691,1247101,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_kernel0,567454592,135268,2560,1,1,56,1,2,96,2820,0
fused_nn_conv2d_add_3_kernel0,567590692,1219453,2560,1,1,56,1,2,255,2820,0
fused_add_nn_relu_3_kernel0,568811041,39873,2560,1,1,1024,1,1,48,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,568851778,1224286,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,570077056,1207036,2560,1,1,56,1,2,255,2820,0
fused_nn_conv2d_add_nn_relu_5_kernel0,571285085,1177212,2560,1,1,28,1,8,255,24932,0
fused_nn_conv2d_1_kernel0,572463129,138403,2560,1,1,28,1,8,168,24932,0
fused_nn_conv2d_add_2_kernel0,572602396,1147708,2560,1,1,14,1,8,255,5636,0
fused_add_nn_relu_2_kernel0,573751096,23393,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_4_kernel0,573775417,1162235,2560,1,1,14,1,8,226,5636,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,574938644,1143964,2560,1,1,14,1,8,248,5636,0
fused_nn_conv2d_add_nn_relu_3_kernel0,576083568,1593798,2560,1,1,14,1,8,198,13284,0
fused_nn_conv2d_2_kernel0,577678231,130435,2560,1,1,14,1,8,165,13284,0
fused_nn_conv2d_add_1_kernel0,577809594,1334495,2560,1,1,14,1,8,199,5188,0
fused_add_nn_relu_1_kernel0,579145049,21409,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_2_kernel0,579167354,1262302,2560,1,1,14,1,8,251,5188,0
fused_nn_conv2d_add_add_nn_relu_kernel0,580430648,1188925,2560,1,1,14,1,8,227,5188,0
fused_nn_conv2d_add_nn_relu_1_kernel0,581620629,1173756,2560,1,1,7,1,8,255,7460,0
fused_nn_conv2d_3_kernel0,582795217,187301,2560,1,1,7,1,8,168,7460,0
fused_nn_conv2d_add_kernel0,582983414,1657448,2560,1,1,7,1,4,203,1300,0
fused_add_nn_relu_kernel0,584641886,20480,2560,1,1,1024,1,1,18,4,0
fused_nn_conv2d_add_nn_relu_kernel0,584663230,2001904,2560,1,1,7,1,4,143,1300,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,586665998,1649320,2560,1,1,7,1,4,227,1300,0
fused_nn_global_avg_pool2d_kernel0,588316214,15968,2560,1,1,8,8,1,30,4,0
fused_nn_batch_flatten_kernel0,588333142,18561,2560,1,1,1024,1,1,16,4,0
fused_nn_dense_add_kernel0,588352535,33664,2560,1,1,64,1,1,27,264,0
fused_nn_softmax_kernel0,588387095,29889,2560,1,1,32,1,1,72,4,0
,24713554,,,,,,,,,,
