Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,541665938,37409,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_7_kernel0,541704403,3031886,2560,1,1,28,1,8,56,5008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,544737410,38145,2560,1,1,1024,1,1,26,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,544776387,1519687,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_kernel0,546297034,164548,2560,1,1,56,1,2,96,2820,0
fused_nn_conv2d_add_3_kernel0,546462510,1489063,2560,1,1,56,1,2,255,2820,0
fused_add_nn_relu_3_kernel0,547952501,39009,2560,1,1,1024,1,1,48,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,547992438,1495751,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,549489277,1467366,2560,1,1,56,1,2,255,2820,0
fused_nn_conv2d_add_nn_relu_5_kernel0,550957763,1189886,2560,1,1,28,1,8,255,24932,0
fused_nn_conv2d_1_kernel0,552148673,140260,2560,1,1,28,1,8,168,24932,0
fused_nn_conv2d_add_2_kernel0,552290021,1506055,2560,1,1,14,1,8,255,5636,0
fused_add_nn_relu_2_kernel0,553796972,22977,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_4_kernel0,553820877,1531527,2560,1,1,14,1,8,226,5636,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,555353300,1505671,2560,1,1,14,1,8,248,5636,0
fused_nn_conv2d_add_nn_relu_3_kernel0,556860027,1639018,2560,1,1,14,1,8,198,13284,0
fused_nn_conv2d_2_kernel0,558500038,131939,2560,1,1,14,1,8,165,13284,0
fused_nn_conv2d_add_1_kernel0,558633065,1330498,2560,1,1,14,1,8,199,5188,0
fused_add_nn_relu_1_kernel0,559964459,20865,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_2_kernel0,559986220,1292129,2560,1,1,14,1,8,251,5188,0
fused_nn_conv2d_add_add_nn_relu_kernel0,561279245,1272833,2560,1,1,14,1,8,227,5188,0
fused_nn_conv2d_add_nn_relu_1_kernel0,562553166,1168031,2560,1,1,7,1,8,255,7460,0
fused_nn_conv2d_3_kernel0,563722189,189989,2560,1,1,7,1,8,168,7460,0
fused_nn_conv2d_add_kernel0,563913202,1659275,2560,1,1,7,1,4,203,1300,0
fused_add_nn_relu_kernel0,565573501,20096,2560,1,1,1024,1,1,18,4,0
fused_nn_conv2d_add_nn_relu_kernel0,565594653,1998068,2560,1,1,7,1,4,143,1300,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,567593617,1660011,2560,1,1,7,1,4,227,1300,0
fused_nn_global_avg_pool2d_kernel0,569254684,16448,2560,1,1,8,8,1,30,4,0
fused_nn_batch_flatten_kernel0,569271996,18273,2560,1,1,1024,1,1,16,4,0
fused_nn_dense_add_kernel0,569291133,37569,2560,1,1,64,1,1,27,264,0
fused_nn_softmax_kernel0,569329790,30049,2560,1,1,32,1,1,72,4,0
,27693901,,,,,,,,,,
