Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,578846741,48257,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_7_kernel0,578895990,6032718,2560,1,1,28,1,8,56,5008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,584929796,69666,2560,1,1,1024,1,1,26,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,585000390,3001495,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_kernel0,588002781,303849,2560,1,1,56,1,2,96,2820,0
fused_nn_conv2d_add_3_kernel0,588307590,2944789,2560,1,1,56,1,2,255,2820,0
fused_add_nn_relu_3_kernel0,591253243,62210,2560,1,1,1024,1,1,48,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,591316413,2972982,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,594290419,2894516,2560,1,1,56,1,2,255,2820,0
fused_nn_conv2d_add_nn_relu_5_kernel0,597185799,2324035,2560,1,1,28,1,8,255,24932,0
fused_nn_conv2d_1_kernel0,599510826,262344,2560,1,1,28,1,8,168,24932,0
fused_nn_conv2d_add_2_kernel0,599774034,2712878,2560,1,1,14,1,8,255,5636,0
fused_add_nn_relu_2_kernel0,602487936,27393,2560,1,1,1024,1,1,32,4,0
fused_nn_conv2d_add_nn_relu_4_kernel0,602516321,2704942,2560,1,1,14,1,8,226,5636,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,605222287,2713999,2560,1,1,14,1,8,248,5636,0
fused_nn_conv2d_add_nn_relu_3_kernel0,607937342,3238461,2560,1,1,14,1,8,198,13284,0
fused_nn_conv2d_2_kernel0,611176924,245126,2560,1,1,14,1,8,165,13284,0
fused_nn_conv2d_add_1_kernel0,611423139,2612427,2560,1,1,14,1,8,199,5188,0
fused_add_nn_relu_1_kernel0,614036495,19552,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_2_kernel0,614057007,2533929,2560,1,1,14,1,8,251,5188,0
fused_nn_conv2d_add_add_nn_relu_kernel0,616591800,2520777,2560,1,1,14,1,8,227,5188,0
fused_nn_conv2d_add_nn_relu_1_kernel0,619113665,2363172,2560,1,1,7,1,8,255,7460,0
fused_nn_conv2d_3_kernel0,621477797,318538,2560,1,1,7,1,8,168,7460,0
fused_nn_conv2d_add_kernel0,621797359,3269694,2560,1,1,7,1,4,203,1300,0
fused_add_nn_relu_kernel0,625068077,18945,2560,1,1,1024,1,1,18,4,0
fused_nn_conv2d_add_nn_relu_kernel0,625087918,4188889,2560,1,1,7,1,4,143,1300,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,629277767,3287935,2560,1,1,7,1,4,227,1300,0
fused_nn_global_avg_pool2d_kernel0,632566598,17633,2560,1,1,8,8,1,30,4,0
fused_nn_batch_flatten_kernel0,632585159,17569,2560,1,1,1024,1,1,16,4,0
fused_nn_dense_add_kernel0,632603656,67298,2560,1,1,64,1,1,27,264,0
fused_nn_softmax_kernel0,632671946,36480,2560,1,1,32,1,1,72,4,0
,53861685,,,,,,,,,,
