==27969== NVPROF is profiling process 27969, command: ./demo 2
==27969== Profiling application: ./demo 2
==27969== Profiling result:
==27969== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel1",2,"sm_efficiency","Multiprocessor Activity",39.098887%,39.511648%,39.305267%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_kernel2",2,"sm_efficiency","Multiprocessor Activity",19.443915%,19.783636%,19.613776%
"Tesla V100-SXM2-32GB (2)","fused_nn_global_avg_pool2d_kernel0",2,"sm_efficiency","Multiprocessor Activity",22.950808%,23.697707%,23.324257%
"Tesla V100-SXM2-32GB (2)","fused_nn_softmax_kernel0",2,"sm_efficiency","Multiprocessor Activity",1.024576%,1.027238%,1.025907%
"Tesla V100-SXM2-32GB (2)","fused_add_10_kernel0",2,"sm_efficiency","Multiprocessor Activity",20.326449%,25.741098%,23.033773%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_add_nn_relu_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",34.317971%,34.492627%,34.405299%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_add_nn_relu_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",45.152994%,45.278924%,45.215959%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel0",2,"sm_efficiency","Multiprocessor Activity",25.353865%,26.574594%,25.964229%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_add_nn_relu_3_kernel0",2,"sm_efficiency","Multiprocessor Activity",44.816722%,44.847108%,44.831915%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel0",2,"sm_efficiency","Multiprocessor Activity",29.904657%,31.169528%,30.537093%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel1",2,"sm_efficiency","Multiprocessor Activity",45.003627%,45.349701%,45.176664%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel0",4,"sm_efficiency","Multiprocessor Activity",35.597181%,36.243733%,35.848413%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel1",2,"sm_efficiency","Multiprocessor Activity",37.517824%,37.635600%,37.576712%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel2",2,"sm_efficiency","Multiprocessor Activity",25.664691%,25.807587%,25.736139%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel1",4,"sm_efficiency","Multiprocessor Activity",37.637806%,38.903199%,38.488448%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel2",2,"sm_efficiency","Multiprocessor Activity",32.578821%,32.640376%,32.609599%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel2",4,"sm_efficiency","Multiprocessor Activity",32.022663%,34.353457%,33.167376%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel0",2,"sm_efficiency","Multiprocessor Activity",23.916597%,24.887589%,24.402093%
"Tesla V100-SXM2-32GB (2)","fused_nn_conv2d_add_nn_relu_kernel0",2,"sm_efficiency","Multiprocessor Activity",44.887405%,45.053263%,44.970334%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel1",2,"sm_efficiency","Multiprocessor Activity",39.349928%,40.270604%,39.810266%
"Tesla V100-SXM2-32GB (2)","fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel2",2,"sm_efficiency","Multiprocessor Activity",25.075521%,25.276742%,25.176132%
