kernel name,param1,size,param2,size,param3,size,param4,size,param5,size,param6,size
fused_nn_conv2d_add_nn_relu_3_kernel0,154,6422528,155,294912,157,200704,156,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,157,200704,158,32768,160,6422528,159,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,160,6422528,161,294912,163,200704,162,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,163,200704,164,32768,166,6422528,165,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,166,6422528,167,294912,169,200704,168,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,169,200704,170,32768,172,6422528,171,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,172,6422528,173,294912,175,200704,174,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,175,200704,176,32768,178,6422528,177,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,178,6422528,179,294912,181,200704,180,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,181,200704,182,32768,184,6422528,183,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,184,6422528,185,294912,187,200704,186,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,187,200704,188,32768,190,6422528,189,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,190,6422528,191,294912,193,200704,192,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,193,200704,194,32768,196,6422528,195,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,196,6422528,197,294912,199,200704,198,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,199,200704,200,32768,202,6422528,201,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,202,6422528,203,294912,205,200704,204,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,205,200704,206,32768,208,6422528,207,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,208,6422528,209,294912,211,200704,210,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,211,200704,212,32768,214,6422528,213,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,214,6422528,215,294912,217,200704,216,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,217,200704,218,32768,220,6422528,219,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,220,6422528,221,294912,223,200704,222,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,223,200704,224,32768,226,6422528,225,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,226,6422528,227,294912,229,200704,228,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,229,200704,230,32768,232,6422528,231,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,232,6422528,233,294912,235,200704,234,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,235,200704,236,32768,238,6422528,237,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,238,6422528,239,294912,241,200704,240,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,241,200704,242,32768,244,6422528,243,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,244,6422528,245,294912,247,200704,246,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,247,200704,248,32768,250,6422528,249,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,250,6422528,251,294912,253,200704,252,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,253,200704,254,32768,256,6422528,255,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,256,6422528,257,294912,259,200704,258,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,259,200704,260,32768,262,6422528,261,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,262,6422528,263,294912,265,200704,264,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,265,200704,266,32768,268,6422528,267,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,268,6422528,269,294912,271,200704,270,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,271,200704,272,32768,274,6422528,273,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,274,6422528,275,294912,277,200704,276,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,277,200704,278,32768,280,6422528,279,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,280,6422528,281,294912,283,200704,282,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,283,200704,284,32768,286,6422528,285,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,286,6422528,287,294912,289,200704,288,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,289,200704,290,32768,292,6422528,291,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,292,6422528,293,294912,295,200704,294,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,295,200704,296,32768,298,6422528,297,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,298,6422528,299,294912,301,200704,300,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,301,200704,302,32768,304,6422528,303,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,304,6422528,305,294912,307,200704,306,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_4_kernel0,307,200704,308,32768,310,6422528,309,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_3_kernel0,310,6422528,311,294912,313,200704,312,64,-1,-1,-1,-1
fused_nn_conv2d_kernel0,313,200704,314,40960,315,8028160,-1,-1,-1,-1,-1,-1
fused_nn_avg_pool2d_add_nn_relu_kernel0,315,8028160,317,2007040,316,2560,-1,-1,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_2_kernel0,317,2007040,318,1310720,320,1605632,319,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,320,1605632,321,294912,323,50176,322,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,323,50176,324,32768,326,1605632,325,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,326,1605632,327,294912,329,50176,328,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,329,50176,330,32768,332,1605632,331,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,332,1605632,333,294912,335,50176,334,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,335,50176,336,32768,338,1605632,337,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,338,1605632,339,294912,341,50176,340,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,341,50176,342,32768,344,1605632,343,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,344,1605632,345,294912,347,50176,346,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,347,50176,348,32768,350,1605632,349,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,350,1605632,351,294912,353,50176,352,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,353,50176,354,32768,356,1605632,355,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,356,1605632,357,294912,359,50176,358,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,359,50176,360,32768,362,1605632,361,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,362,1605632,363,294912,365,50176,364,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,365,50176,366,32768,368,1605632,367,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,368,1605632,369,294912,371,50176,370,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,371,50176,372,32768,374,1605632,373,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,374,1605632,375,294912,377,50176,376,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,377,50176,378,32768,380,1605632,379,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,380,1605632,381,294912,383,50176,382,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,383,50176,384,32768,386,1605632,385,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,386,1605632,387,294912,389,50176,388,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,389,50176,390,32768,392,1605632,391,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,392,1605632,393,294912,395,50176,394,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,395,50176,396,32768,398,1605632,397,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,398,1605632,399,294912,401,50176,400,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,401,50176,402,32768,404,1605632,403,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,404,1605632,405,294912,407,50176,406,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,407,50176,408,32768,410,1605632,409,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,410,1605632,411,294912,413,50176,412,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,413,50176,414,32768,416,1605632,415,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,416,1605632,417,294912,419,50176,418,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,419,50176,420,32768,422,1605632,421,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,422,1605632,423,294912,425,50176,424,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,425,50176,426,32768,428,1605632,427,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,428,1605632,429,294912,431,50176,430,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,431,50176,432,32768,434,1605632,433,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,434,1605632,435,294912,437,50176,436,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,437,50176,438,32768,440,1605632,439,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,440,1605632,441,294912,443,50176,442,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,443,50176,444,32768,446,1605632,445,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,446,1605632,447,294912,449,50176,448,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,449,50176,450,32768,452,1605632,451,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,452,1605632,453,294912,455,50176,454,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,455,50176,456,32768,458,1605632,457,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,458,1605632,459,294912,461,50176,460,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,461,50176,462,32768,464,1605632,463,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,464,1605632,465,294912,467,50176,466,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,467,50176,468,32768,470,1605632,469,2048,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_kernel0,470,1605632,471,294912,473,50176,472,64,-1,-1,-1,-1
fused_nn_conv2d_add_nn_relu_1_kernel0,473,50176,474,32768,476,1605632,475,2048,-1,-1,-1,-1
