==21860== NVPROF is profiling process 21860, command: ./demo 3,,,,,,
==21860== Profiling application: ./demo 3,,,,,,,
==21860== Profiling result:,,,,,,,
==21860== Metric result:,,,,,,,
Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
Tesla V100-SXM2-32GB (3),fused_nn_global_avg_pool2d_kernel0,2,sm_efficiency,Multiprocessor Activity,19.23%,28.73%,23.98%
Tesla V100-SXM2-32GB (3),fused_nn_softmax_kernel0,2,sm_efficiency,Multiprocessor Activity,0.77%,0.98%,0.87%
Tesla V100-SXM2-32GB (3),fused_add_10_kernel0,2,sm_efficiency,Multiprocessor Activity,32.99%,34.55%,33.77%
Tesla V100-SXM2-32GB (3),fused_nn_conv2d_add_nn_relu_1_kernel0,2,sm_efficiency,Multiprocessor Activity,65.69%,65.70%,65.69%
Tesla V100-SXM2-32GB (3),fused_nn_conv2d_add_nn_relu_2_kernel0,2,sm_efficiency,Multiprocessor Activity,65.51%,66.15%,65.83%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel0,2,sm_efficiency,Multiprocessor Activity,22.90%,35.62%,29.26%
Tesla V100-SXM2-32GB (3),fused_nn_conv2d_add_nn_relu_3_kernel0,2,sm_efficiency,Multiprocessor Activity,65.76%,66.85%,66.31%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel0,2,sm_efficiency,Multiprocessor Activity,27.96%,40.14%,34.05%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel1,2,sm_efficiency,Multiprocessor Activity,74.99%,75.74%,75.36%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel0,4,sm_efficiency,Multiprocessor Activity,36.18%,56.49%,45.75%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel1,2,sm_efficiency,Multiprocessor Activity,68.34%,68.81%,68.57%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel2,2,sm_efficiency,Multiprocessor Activity,33.66%,37.25%,35.45%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel1,4,sm_efficiency,Multiprocessor Activity,39.74%,43.57%,42.10%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel2,2,sm_efficiency,Multiprocessor Activity,43.53%,45.15%,44.34%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel2,4,sm_efficiency,Multiprocessor Activity,36.23%,48.75%,42.89%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel0,2,sm_efficiency,Multiprocessor Activity,19.37%,28.92%,24.14%
Tesla V100-SXM2-32GB (3),fused_nn_conv2d_add_nn_relu_kernel0,2,sm_efficiency,Multiprocessor Activity,67.33%,67.74%,67.54%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel1,2,sm_efficiency,Multiprocessor Activity,75.14%,75.21%,75.17%
Tesla V100-SXM2-32GB (3),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel2,2,sm_efficiency,Multiprocessor Activity,31.67%,31.86%,31.76%
