==29317== NVPROF is profiling process 29317, command: ./demo 1,,,,,,
==29317== Profiling application: ./demo 1,,,,,,,
==29317== Profiling result:,,,,,,,
==29317== Metric result:,,,,,,,
Device,Kernel,Invocations,Metric Name,Metric Description,Min,Max,Avg
Tesla V100-SXM2-32GB (1),fused_nn_global_avg_pool2d_kernel0,1,sm_efficiency,Multiprocessor Activity,22.20%,22.20%,22.20%
Tesla V100-SXM2-32GB (1),fused_nn_softmax_kernel0,1,sm_efficiency,Multiprocessor Activity,0.97%,0.97%,0.97%
Tesla V100-SXM2-32GB (1),fused_add_10_kernel0,1,sm_efficiency,Multiprocessor Activity,31.11%,31.11%,31.11%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,63.51%,63.51%,63.51%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_2_kernel0,1,sm_efficiency,Multiprocessor Activity,79.67%,79.67%,79.67%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel0,1,sm_efficiency,Multiprocessor Activity,30.10%,30.10%,30.10%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_3_kernel0,1,sm_efficiency,Multiprocessor Activity,87.93%,87.93%,87.93%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel0,1,sm_efficiency,Multiprocessor Activity,40.63%,40.63%,40.63%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel1,1,sm_efficiency,Multiprocessor Activity,84.33%,84.33%,84.33%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel0,2,sm_efficiency,Multiprocessor Activity,70.53%,71.98%,71.26%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel1,1,sm_efficiency,Multiprocessor Activity,74.59%,74.59%,74.59%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_1_kernel2,1,sm_efficiency,Multiprocessor Activity,29.75%,29.75%,29.75%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel1,2,sm_efficiency,Multiprocessor Activity,65.24%,67.60%,66.42%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_2_kernel2,1,sm_efficiency,Multiprocessor Activity,34.57%,34.57%,34.57%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_nn_relu_3_kernel2,2,sm_efficiency,Multiprocessor Activity,55.44%,62.30%,58.87%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel0,1,sm_efficiency,Multiprocessor Activity,25.11%,25.11%,25.11%
Tesla V100-SXM2-32GB (1),fused_nn_conv2d_add_nn_relu_kernel0,1,sm_efficiency,Multiprocessor Activity,95.37%,95.37%,95.37%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel1,1,sm_efficiency,Multiprocessor Activity,84.05%,84.05%,84.05%
Tesla V100-SXM2-32GB (1),fused_nn_contrib_conv2d_winograd_without_weight_transform_add_multiply_add_nn_re_11882905421691233276__kernel2,1,sm_efficiency,Multiprocessor Activity,25.06%,25.06%,25.06%
