Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",458282466,13728,256,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",458297058,819061,4,28,8,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",459117175,34432,784,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",459152631,369466,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",459523057,49088,1,28,4,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",459573137,377467,1,28,4,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",459951500,13056,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",459965452,352571,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",460319047,373179,1,28,4,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",460693282,316828,1,4,8,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",461011166,45055,1,4,8,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",461057277,402235,1,7,8,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",461460536,8415,256,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",461469815,400859,1,7,8,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",461871762,401947,1,7,8,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",462274636,842709,1,2,16,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",463118241,55359,1,2,16,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",463174560,542969,1,2,16,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",463718617,6400,196,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",463725817,542904,1,2,16,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",464269777,543161,1,2,16,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",464813866,754166,1,1,32,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",465569056,90879,1,1,32,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",465660991,1244367,1,1,64,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",466906318,5472,98,1,1,1024,1,1,16,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",466912686,1239951,1,1,64,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",468153597,1240399,1,1,64,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",469394924,5184,64,1,1,8,8,1,32,0,0
"fused_nn_batch_flatten_kernel0",469400908,3808,2,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",469405708,14048,1000,4,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",469420812,19936,4,1,1,32,1,1,56,0,0
