Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",563193791,19808,2560,1,1,1024,1,1,22,4,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",563214431,1547605,2560,1,1,28,1,8,56,5008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",564763124,22016,2560,1,1,1024,1,1,26,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",564786036,841274,2560,1,1,56,1,2,206,2820,0
"fused_nn_conv2d_kernel0",565628238,84223,2560,1,1,56,1,2,96,2820,0
"fused_nn_conv2d_add_3_kernel0",565713517,823642,2560,1,1,56,1,2,255,2820,0
"fused_add_nn_relu_3_kernel0",566538151,19648,2560,1,1,1024,1,1,22,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",566558663,812282,2560,1,1,56,1,2,206,2820,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",567371937,813659,2560,1,1,56,1,2,255,2820,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",568186524,607003,2560,1,1,28,1,8,255,24932,0
"fused_nn_conv2d_1_kernel0",568794391,78944,2560,1,1,28,1,8,168,24932,0
"fused_nn_conv2d_add_2_kernel0",568874263,775098,2560,1,1,14,1,8,255,5636,0
"fused_add_nn_relu_2_kernel0",569650449,18880,2560,1,1,1024,1,1,18,4,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",569670225,782010,2560,1,1,14,1,8,226,5636,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",570453099,773051,2560,1,1,14,1,8,248,5636,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",571227174,839034,2560,1,1,14,1,8,198,13284,0
"fused_nn_conv2d_2_kernel0",572067104,100671,2560,1,1,14,1,8,165,13284,0
"fused_nn_conv2d_add_1_kernel0",572168671,685659,2560,1,1,14,1,8,199,5188,0
"fused_add_nn_relu_1_kernel0",572855226,18176,2560,1,1,1024,1,1,16,4,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",572874426,674651,2560,1,1,14,1,8,251,5188,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",573550101,651227,2560,1,1,14,1,8,227,5188,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",574202416,1120504,2560,1,1,7,1,8,255,7460,0
"fused_nn_conv2d_3_kernel0",575323976,181183,2560,1,1,7,1,8,168,7460,0
"fused_nn_conv2d_add_kernel0",575506087,1606357,2560,1,1,7,1,4,203,1300,0
"fused_add_nn_relu_kernel0",577113404,18112,2560,1,1,1024,1,1,16,4,0
"fused_nn_conv2d_add_nn_relu_kernel0",577132572,1605716,2560,1,1,7,1,4,143,1300,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",578739344,1627060,2560,1,1,7,1,4,227,1300,0
"fused_nn_global_avg_pool2d_kernel0",580367332,9600,2560,1,1,8,8,1,32,4,0
"fused_nn_batch_flatten_kernel0",580377924,17632,2560,1,1,1024,1,1,16,4,0
"fused_nn_dense_add_kernel0",580396548,21184,2560,1,1,64,1,1,27,264,0
"fused_nn_softmax_kernel0",580418692,21792,2560,1,1,32,1,1,72,4,0
