Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,583616286,28673,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_7_kernel0,583645791,368481,2560,1,1,28,1,8,56,5008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,584015168,25729,2560,1,1,1024,1,1,26,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,584041696,255266,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_kernel0,584298050,54080,2560,1,1,56,1,2,96,2820,0
fused_nn_conv2d_add_3_kernel0,584353218,248705,2560,1,1,56,1,2,255,2820,0
fused_add_nn_relu_3_kernel0,584602787,25728,2560,1,1,1024,1,1,22,4,0
fused_nn_conv2d_add_nn_relu_6_kernel0,584629507,228833,2560,1,1,56,1,2,206,2820,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,584859172,250913,2560,1,1,56,1,2,255,2820,0
fused_nn_conv2d_add_nn_relu_5_kernel0,585111109,316130,2560,1,1,28,1,8,255,24932,0
fused_nn_conv2d_1_kernel0,585428263,47776,2560,1,1,28,1,8,168,24932,0
fused_nn_conv2d_add_2_kernel0,585476999,409986,2560,1,1,14,1,8,255,5636,0
fused_add_nn_relu_2_kernel0,585887913,23968,2560,1,1,1024,1,1,18,4,0
fused_nn_conv2d_add_nn_relu_4_kernel0,585912713,408258,2560,1,1,14,1,8,226,5636,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,586322027,412194,2560,1,1,14,1,8,248,5636,0
fused_nn_conv2d_add_nn_relu_3_kernel0,586735245,834564,2560,1,1,14,1,8,198,13284,0
fused_nn_conv2d_2_kernel0,587570705,97152,2560,1,1,14,1,8,165,13284,0
fused_nn_conv2d_add_1_kernel0,587668721,668132,2560,1,1,14,1,8,199,5188,0
fused_add_nn_relu_1_kernel0,588337973,22144,2560,1,1,1024,1,1,16,4,0
fused_nn_conv2d_add_nn_relu_2_kernel0,588360949,663939,2560,1,1,14,1,8,251,5188,0
fused_nn_conv2d_add_add_nn_relu_kernel0,589025784,619459,2560,1,1,14,1,8,227,5188,0
fused_nn_conv2d_add_nn_relu_1_kernel0,589646331,1144709,2560,1,1,7,1,8,255,7460,0
fused_nn_conv2d_3_kernel0,590791968,166017,2560,1,1,7,1,8,168,7460,0
fused_nn_conv2d_add_kernel0,590958977,1467015,2560,1,1,7,1,4,203,1300,0
fused_add_nn_relu_kernel0,592426952,21120,2560,1,1,1024,1,1,16,4,0
fused_nn_conv2d_add_nn_relu_kernel0,592448968,1522183,2560,1,1,7,1,4,143,1300,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,593972207,1448743,2560,1,1,7,1,4,227,1300,0
fused_nn_global_avg_pool2d_kernel0,595422006,9536,2560,1,1,8,8,1,32,4,0
fused_nn_batch_flatten_kernel0,595432374,20096,2560,1,1,1024,1,1,16,4,0
fused_nn_dense_add_kernel0,595453526,97089,2560,1,1,64,1,1,27,264,0
fused_nn_softmax_kernel0,595551703,21984,2560,1,1,32,1,1,72,4,0
,11957401,,,,,,,,,,
