Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,1490221892,130430,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,1490353251,16023126,4,28,64,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,1506377402,488866,6272,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1506867069,4849016,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,1511716982,552816,1,28,32,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,1512270759,4910116,1,28,32,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,1517182316,165112,256,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1517348196,4854140,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,1522203297,5044710,1,28,32,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,1527250729,4995,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,1527256589,4772,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,1527262289,5242358,1,7,64,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,1532505575,75607,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,1532582399,5296028,1,7,64,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,1537879452,5295707,1,7,64,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,1543175992,6042169,1,2,128,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,1549219153,499402,1,2,128,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,1549719451,7311569,1,2,128,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,1557032333,36602,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,1557069735,7330782,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,1564401798,7378144,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,1571781191,5661285,1,1,256,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,1577443437,579331,1,1,256,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,1578023601,6489052,1,1,512,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,1584513614,21295,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,1584535710,6527896,1,1,512,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,1591064503,6487195,1,1,512,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,1597552530,28917,64,4,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,1597582376,4419,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,1597587724,158931,1000,32,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,1597747488,21647,32,1,1,32,1,1,96,0,0
,,107547243,,,,,,,,,
