Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,1121054520,69348,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,1121124732,8007231,4,28,64,28,1,8,95,10008,0
fused_nn_max_pool2d_add_nn_relu_kernel0,1129132827,248880,6272,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1129382603,2445692,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_kernel0,1131829223,280338,1,28,32,56,1,2,127,5632,0
fused_nn_conv2d_add_3_kernel0,1132110553,2456925,1,28,32,56,1,2,240,5632,0
fused_add_nn_relu_3_kernel0,1134568470,84741,256,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,1134654011,2434972,1,28,32,56,1,2,254,5632,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,1137089783,2574756,1,28,32,56,1,2,206,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,1139665435,4000,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_1_kernel0,1139670203,3553,1,4,64,28,1,8,16,0,0
fused_nn_conv2d_add_2_kernel0,1139674588,2659561,1,7,64,14,1,8,254,11264,0
fused_add_nn_relu_2_kernel0,1142335013,42659,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,1142378440,2681643,1,7,64,14,1,8,254,11264,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,1145060883,2701036,1,7,64,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,1147762879,3164330,1,2,128,14,1,8,255,26560,0
fused_nn_conv2d_2_kernel0,1150928393,257937,1,2,128,14,1,8,234,26560,0
fused_nn_conv2d_add_1_kernel0,1151187354,2968542,1,2,128,14,1,8,254,10368,0
fused_add_nn_relu_1_kernel0,1154157047,25730,256,1,1,1024,1,1,32,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,1154183769,2452957,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_add_nn_relu_kernel0,1156637942,2568036,1,2,128,14,1,8,254,10368,0
fused_nn_conv2d_add_nn_relu_1_kernel0,1159207322,2839669,1,1,256,7,1,8,255,14912,0
fused_nn_conv2d_3_kernel0,1162047823,334357,1,1,256,7,1,8,168,14912,0
fused_nn_conv2d_add_kernel0,1162383140,4076068,1,1,512,7,1,4,168,2592,0
fused_add_nn_relu_kernel0,1166460552,13825,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_kernel0,1166475145,4241999,1,1,512,7,1,4,168,2592,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,1170718456,4249135,1,1,512,7,1,4,168,2592,0
fused_nn_global_avg_pool2d_kernel0,1174968807,16385,64,4,1,8,8,1,31,0,0
fused_nn_batch_flatten_kernel0,1174986088,4160,16,1,1,1024,1,1,30,0,0
fused_nn_dense_add_kernel0,1174991112,83878,1000,32,1,64,1,1,32,520,0
fused_nn_softmax_kernel0,1175075982,20833,32,1,1,32,1,1,96,0,0
,,54042295,,,,,,,,,
