Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",966468068,157025,16,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",966630765,20749527,16,1,1,28,1,8,95,10008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",987389553,517381,16,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",987909530,7303453,16,1,1,56,1,2,254,5632,0
"fused_nn_conv2d_kernel0",995218462,957628,16,1,1,56,1,2,127,5632,0
"fused_nn_conv2d_add_3_kernel0",996177949,7331620,16,1,1,56,1,2,240,5632,0
"fused_add_nn_relu_3_kernel0",1003512037,181540,16,1,1,1024,1,1,26,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",1003695339,7284738,16,1,1,56,1,2,254,5632,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",1010984820,149846,16,1,1,56,1,2,206,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",1011137486,3141,16,1,1,28,1,8,16,0,0
"fused_nn_conv2d_1_kernel0",1011143575,3077,16,1,1,28,1,8,16,0,0
"fused_nn_conv2d_add_2_kernel0",1011149696,7541265,16,1,1,14,1,8,254,11264,0
"fused_add_nn_relu_2_kernel0",1018696281,58900,16,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",1018758226,7503002,16,1,1,14,1,8,254,11264,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",1026264016,283767,16,1,1,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",1026550218,8135716,16,1,1,14,1,8,255,26560,0
"fused_nn_conv2d_2_kernel0",1034689876,548273,16,1,1,14,1,8,234,26560,0
"fused_nn_conv2d_add_1_kernel0",1035243180,7971354,16,1,1,14,1,8,254,10368,0
"fused_add_nn_relu_1_kernel0",1043217418,31982,16,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",1043252508,8372279,16,1,1,14,1,8,254,10368,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",1051627223,6598282,16,1,1,14,1,8,254,10368,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",1058227716,10208574,16,1,1,7,1,8,255,14912,0
"fused_nn_conv2d_3_kernel0",1068439014,899592,16,1,1,7,1,8,168,14912,0
"fused_nn_conv2d_add_kernel0",1069341234,27048949,16,1,1,7,1,4,168,2592,0
"fused_add_nn_relu_kernel0",1096392523,21471,16,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",1096415756,26979474,16,1,1,7,1,4,168,2592,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",1123397730,27140825,16,1,1,7,1,4,168,2592,0
"fused_nn_global_avg_pool2d_kernel0",1150539324,48934,16,1,1,8,8,1,31,0,0
"fused_nn_batch_flatten_kernel0",1150589155,3141,16,1,1,1024,1,1,30,0,0
"fused_nn_dense_add_kernel0",1150593001,1456421,16,1,1,64,1,1,32,520,0
"fused_nn_softmax_kernel0",1152050320,21535,16,1,1,32,1,1,96,0,0
