Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",510076936,25023,2560,1,1,1024,1,1,24,4,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",510102791,3035538,2560,1,1,28,1,8,56,5008,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",513139257,38367,2560,1,1,1024,1,1,26,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",513178456,1521465,2560,1,1,56,1,2,206,2820,0
"fused_nn_conv2d_kernel0",514700881,165148,2560,1,1,56,1,2,96,2820,0
"fused_nn_conv2d_add_3_kernel0",514867053,1492602,2560,1,1,56,1,2,255,2820,0
"fused_add_nn_relu_3_kernel0",516360551,26527,2560,1,1,1024,1,1,32,4,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",516388006,1495290,2560,1,1,56,1,2,206,2820,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",517884256,1469402,2560,1,1,56,1,2,255,2820,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",519354714,1183298,2560,1,1,28,1,8,255,24932,0
"fused_nn_conv2d_1_kernel0",520538844,139132,2560,1,1,28,1,8,168,24932,0
"fused_nn_conv2d_add_2_kernel0",520678872,1507961,2560,1,1,14,1,8,255,5636,0
"fused_add_nn_relu_2_kernel0",522187665,19648,2560,1,1,1024,1,1,22,4,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",522208208,1530425,2560,1,1,14,1,8,226,5636,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",523739593,1503034,2560,1,1,14,1,8,248,5636,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",525243683,1640854,2560,1,1,14,1,8,198,13284,0
"fused_nn_conv2d_2_kernel0",526885497,128349,2560,1,1,14,1,8,165,13284,0
"fused_nn_conv2d_add_1_kernel0",527014742,1328606,2560,1,1,14,1,8,199,5188,0
"fused_add_nn_relu_1_kernel0",528344276,19359,2560,1,1,1024,1,1,18,4,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",528364435,1295583,2560,1,1,14,1,8,251,5188,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",529660946,1274047,2560,1,1,14,1,8,227,5188,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",530935889,1176802,2560,1,1,7,1,8,255,7460,0
"fused_nn_conv2d_3_kernel0",532113587,188315,2560,1,1,7,1,8,168,7460,0
"fused_nn_conv2d_add_kernel0",532302766,1654902,2560,1,1,7,1,4,203,1300,0
"fused_add_nn_relu_kernel0",533958564,18175,2560,1,1,1024,1,1,16,4,0
"fused_nn_conv2d_add_nn_relu_kernel0",533977699,1977582,2560,1,1,7,1,4,143,1300,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",535956209,1650197,2560,1,1,7,1,4,227,1300,0
"fused_nn_global_avg_pool2d_kernel0",537607430,24959,2560,1,1,8,8,1,30,4,0
"fused_nn_batch_flatten_kernel0",537633189,17600,2560,1,1,1024,1,1,16,4,0
"fused_nn_dense_add_kernel0",537651749,37087,2560,1,1,64,1,1,27,264,0
"fused_nn_softmax_kernel0",537689732,29791,2560,1,1,32,1,1,72,4,0
