Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
fused_add_10_kernel0,559578815,21472,256,1,1,1024,1,1,26,0,0
fused_nn_conv2d_add_nn_relu_7_kernel0,559601087,1601465,4,28,16,28,1,8,71,5004,0
fused_nn_max_pool2d_add_nn_relu_kernel0,561203544,62783,1568,1,1,1024,1,1,18,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,561267223,708111,1,28,8,56,1,2,200,2816,0
fused_nn_conv2d_kernel0,561976198,89406,1,28,8,56,1,2,128,2816,0
fused_nn_conv2d_add_3_kernel0,562066596,714862,1,28,8,56,1,2,200,2816,0
fused_add_nn_relu_3_kernel0,562782514,22144,256,1,1,1024,1,1,30,0,0
fused_nn_conv2d_add_nn_relu_6_kernel0,562805490,689711,1,28,8,56,1,2,200,2816,0
fused_nn_conv2d_add_add_nn_relu_2_kernel0,563496225,715151,1,28,8,56,1,2,200,2816,0
fused_nn_conv2d_add_nn_relu_5_kernel0,564212400,610481,1,4,16,28,1,8,255,24928,0
fused_nn_conv2d_1_kernel0,564823809,84382,1,4,16,28,1,8,168,24928,0
fused_nn_conv2d_add_2_kernel0,564909183,769518,1,7,16,14,1,8,178,5632,0
fused_add_nn_relu_2_kernel0,565679597,13023,256,1,1,1024,1,1,19,0,0
fused_nn_conv2d_add_nn_relu_4_kernel0,565693580,779118,1,7,16,14,1,8,178,5632,0
fused_nn_conv2d_add_add_nn_relu_1_kernel0,566473657,771854,1,7,16,14,1,8,178,5632,0
fused_nn_conv2d_add_nn_relu_3_kernel0,567246471,893099,1,2,32,14,1,8,231,13280,0
fused_nn_conv2d_2_kernel0,568140498,74973,1,2,32,14,1,8,168,13280,0
fused_nn_conv2d_add_1_kernel0,568216303,614642,1,2,32,14,1,8,168,5184,0
fused_add_nn_relu_1_kernel0,568831841,8704,256,1,1,1024,1,1,16,0,0
fused_nn_conv2d_add_nn_relu_2_kernel0,568841537,612209,1,2,32,14,1,8,168,5184,0
fused_nn_conv2d_add_add_nn_relu_kernel0,569454706,613969,1,2,32,14,1,8,168,5184,0
fused_nn_conv2d_add_nn_relu_1_kernel0,570069699,836204,1,1,64,7,1,8,255,7456,0
fused_nn_conv2d_3_kernel0,570906927,112253,1,1,64,7,1,8,168,7456,0
fused_nn_conv2d_add_kernel0,571020108,1357215,1,1,128,7,1,4,128,1296,0
fused_add_nn_relu_kernel0,572378283,6944,196,1,1,1024,1,1,16,0,0
fused_nn_conv2d_add_nn_relu_kernel0,572386251,1357279,1,1,128,7,1,4,128,1296,0
fused_nn_conv2d_add_multiply_add_nn_relu_kernel0,573744362,1357855,1,1,128,7,1,4,128,1296,0
fused_nn_global_avg_pool2d_kernel0,575103145,6688,64,1,1,8,8,1,30,0,0
fused_nn_batch_flatten_kernel0,575110601,4416,4,1,1,1024,1,1,16,0,0
fused_nn_dense_add_kernel0,575116009,23136,1000,8,1,64,1,1,27,260,0
fused_nn_softmax_kernel0,575140105,20096,8,1,1,32,1,1,56,0,0
,15581386,,,,,,,,,,
