Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",465022131,59203,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",465082358,2572354,4,28,64,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",467655704,183591,6272,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",467840351,1057193,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",468898568,138406,1,28,32,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",469037870,1069225,1,28,32,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",470108151,71843,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",470180954,1033735,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",471215649,1063945,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",472280618,1184654,1,4,64,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",473466136,158374,1,4,64,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",473625598,1153708,1,7,64,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",474780394,36930,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",474818252,1144428,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",475963608,1162476,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",477127044,1725314,1,2,128,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",478853350,128518,1,2,128,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",478982860,1410230,1,2,128,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",480394146,17600,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",480412642,1389910,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",481803448,1403830,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",483208270,1399382,1,1,256,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",484608644,142213,1,1,256,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",484751977,1447288,1,1,512,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",486200193,9568,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",486210753,1439031,1,1,512,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",487650840,1453241,1,1,512,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",489104977,10592,64,4,1,8,8,1,30,0,0
"fused_nn_batch_flatten_kernel0",489116561,4000,16,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",489121425,60579,1000,32,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",489183060,19712,32,1,1,32,1,1,56,0,0
