Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory
"fused_add_10_kernel0",430084224,103867,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_7_kernel0",430189115,12408162,4,28,64,28,1,8,71,5004,0
"fused_nn_max_pool2d_add_nn_relu_kernel0",442598237,409197,6272,1,1,1024,1,1,18,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",443008362,4915037,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_kernel0",447924455,559974,1,28,32,56,1,2,128,2816,0
"fused_nn_conv2d_add_3_kernel0",448485357,4947356,1,28,32,56,1,2,200,2816,0
"fused_add_nn_relu_3_kernel0",453433705,137721,256,1,1,1024,1,1,22,0,0
"fused_nn_conv2d_add_nn_relu_6_kernel0",453572450,4893502,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_add_nn_relu_2_kernel0",458466976,4944412,1,28,32,56,1,2,200,2816,0
"fused_nn_conv2d_add_nn_relu_5_kernel0",463412444,4692294,1,4,64,28,1,8,255,24928,0
"fused_nn_conv2d_1_kernel0",468105602,581477,1,4,64,28,1,8,168,24928,0
"fused_nn_conv2d_add_2_kernel0",468688071,5264269,1,7,64,14,1,8,178,5632,0
"fused_add_nn_relu_2_kernel0",473953204,64861,256,1,1,1024,1,1,32,0,0
"fused_nn_conv2d_add_nn_relu_4_kernel0",474019025,5253741,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_add_nn_relu_1_kernel0",479273854,5325194,1,7,64,14,1,8,178,5632,0
"fused_nn_conv2d_add_nn_relu_3_kernel0",484599944,7012860,1,2,128,14,1,8,231,13280,0
"fused_nn_conv2d_2_kernel0",491613828,470090,1,2,128,14,1,8,168,13280,0
"fused_nn_conv2d_add_1_kernel0",492084878,4705575,1,2,128,14,1,8,168,5184,0
"fused_add_nn_relu_1_kernel0",496791445,35262,256,1,1,1024,1,1,30,0,0
"fused_nn_conv2d_add_nn_relu_2_kernel0",496827507,4682344,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_add_nn_relu_kernel0",501510778,4698119,1,2,128,14,1,8,168,5184,0
"fused_nn_conv2d_add_nn_relu_1_kernel0",506209985,5075478,1,1,256,7,1,8,255,7456,0
"fused_nn_conv2d_3_kernel0",511286455,553158,1,1,256,7,1,8,168,7456,0
"fused_nn_conv2d_add_kernel0",511840509,5702776,1,1,512,7,1,4,128,1296,0
"fused_add_nn_relu_kernel0",517544309,20767,256,1,1,1024,1,1,19,0,0
"fused_nn_conv2d_add_nn_relu_kernel0",517566036,5687994,1,1,512,7,1,4,128,1296,0
"fused_nn_conv2d_add_multiply_add_nn_relu_kernel0",523254894,5665402,1,1,512,7,1,4,128,1296,0
"fused_nn_global_avg_pool2d_kernel0",528921384,27838,64,4,1,8,8,1,30,0,0
"fused_nn_batch_flatten_kernel0",528950150,3840,16,1,1,1024,1,1,16,0,0
"fused_nn_dense_add_kernel0",528954982,141977,1000,32,1,64,1,1,27,260,0
"fused_nn_softmax_kernel0",529097823,21248,32,1,1,32,1,1,56,0,0
